1,"Νέστορα δʼ οὐκ ἔλαθεν ἰαχὴ πίνοντά περ ἔμπης,"
2,ἀλλʼ Ἀσκληπιάδην ἔπεα πτερόεντα προσηύδα·
3,φράζεο δῖε Μαχᾶον ὅπως ἔσται τάδε ἔργα·
4,μείζων δὴ παρὰ νηυσὶ βοὴ θαλερῶν αἰζηῶν.
5,ἀλλὰ σὺ μὲν νῦν πῖνε καθήμενος αἴθοπα οἶνον
6,εἰς ὅ κε θερμὰ λοετρὰ ἐϋπλόκαμος Ἑκαμήδη
7,θερμήνῃ καὶ λούσῃ ἄπο βρότον αἱματόεντα·
8,αὐτὰρ ἐγὼν ἐλθὼν τάχα εἴσομαι ἐς περιωπήν.
9,ὣς εἰπὼν σάκος εἷλε τετυγμένον υἷος ἑοῖο
10,κείμενον ἐν κλισίῃ Θρασυμήδεος ἱπποδάμοιο
11,χαλκῷ παμφαῖνον· ὃ δʼ ἔχʼ ἀσπίδα πατρὸς ἑοῖο.
12,"εἵλετο δʼ ἄλκιμον ἔγχος ἀκαχμένον ὀξέϊ χαλκῷ,"
13,"στῆ δʼ ἐκτὸς κλισίης, τάχα δʼ εἴσιδεν ἔργον ἀεικὲς"
14,"τοὺς μὲν ὀρινομένους, τοὺς δὲ κλονέοντας ὄπισθε"
15,Τρῶας ὑπερθύμους· ἐρέριπτο δὲ τεῖχος Ἀχαιῶν.
16,ὡς δʼ ὅτε πορφύρῃ πέλαγος μέγα κύματι κωφῷ
17,ὀσσόμενον λιγέων ἀνέμων λαιψηρὰ κέλευθα
18,"αὔτως, οὐδʼ ἄρα τε προκυλίνδεται οὐδετέρωσε,"
19,"πρίν τινα κεκριμένον καταβήμεναι ἐκ Διὸς οὖρον,"
20,ὣς ὃ γέρων ὅρμαινε δαϊζόμενος κατὰ θυμὸν
21,"διχθάδιʼ, ἢ μεθʼ ὅμιλον ἴοι Δαναῶν ταχυπώλων,"
22,ἦε μετʼ Ἀτρεΐδην Ἀγαμέμνονα ποιμένα λαῶν.
23,ὧδε δέ οἱ φρονέοντι δοάσσατο κέρδιον εἶναι
24,βῆναι ἐπʼ Ἀτρεΐδην. οἳ δʼ ἀλλήλους ἐνάριζον
25,μαρνάμενοι· λάκε δέ σφι περὶ χροῒ χαλκὸς ἀτειρὴς
26,νυσσομένων ξίφεσίν τε καὶ ἔγχεσιν ἀμφιγύοισι.
27,Νέστορι δὲ ξύμβληντο διοτρεφέες βασιλῆες
28,πὰρ νηῶν ἀνιόντες ὅσοι βεβλήατο χαλκῷ
29,Τυδεΐδης Ὀδυσεύς τε καὶ Ἀτρεΐδης Ἀγαμέμνων.
30,πολλὸν γάρ ῥʼ ἀπάνευθε μάχης εἰρύατο νῆες
31,θῖνʼ ἔφʼ ἁλὸς πολιῆς· τὰς γὰρ πρώτας πεδίον δὲ
32,"εἴρυσαν, αὐτὰρ τεῖχος ἐπὶ πρύμνῃσιν ἔδειμαν."
33,οὐδὲ γὰρ οὐδʼ εὐρύς περ ἐὼν ἐδυνήσατο πάσας
34,"αἰγιαλὸς νῆας χαδέειν, στείνοντο δὲ λαοί·"
35,"τώ ῥα προκρόσσας ἔρυσαν, καὶ πλῆσαν ἁπάσης"
36,"ἠϊόνος στόμα μακρόν, ὅσον συνεέργαθον ἄκραι."
37,τώ ῥʼ οἵ γʼ ὀψείοντες ἀϋτῆς καὶ πολέμοιο
38,ἔγχει ἐρειδόμενοι κίον ἀθρόοι· ἄχνυτο δέ σφι
39,θυμὸς ἐνὶ στήθεσσιν. ὃ δὲ ξύμβλητο γεραιὸς
40,"Νέστωρ, πτῆξε δὲ θυμὸν ἐνὶ στήθεσσιν Ἀχαιῶν."
41,τὸν καὶ φωνήσας προσέφη κρείων Ἀγαμέμνων·
42,ὦ Νέστορ Νηληϊάδη μέγα κῦδος Ἀχαιῶν
43,τίπτε λιπὼν πόλεμον φθισήνορα δεῦρʼ ἀφικάνεις;
44,"δείδω μὴ δή μοι τελέσῃ ἔπος ὄβριμος Ἕκτωρ,"
45,ὥς ποτʼ ἐπηπείλησεν ἐνὶ Τρώεσσʼ ἀγορεύων
46,μὴ πρὶν πὰρ νηῶν προτὶ Ἴλιον ἀπονέεσθαι
47,"πρὶν πυρὶ νῆας ἐνιπρῆσαι, κτεῖναι δὲ καὶ αὐτούς."
48,κεῖνος τὼς ἀγόρευε· τὰ δὴ νῦν πάντα τελεῖται.
49,ὢ πόποι ἦ ῥα καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοὶ
50,ἐν θυμῷ βάλλονται ἐμοὶ χόλον ὥς περ Ἀχιλλεὺς
51,οὐδʼ ἐθέλουσι μάχεσθαι ἐπὶ πρυμνῇσι νέεσσι.
52,τὸν δʼ ἠμείβετʼ ἔπειτα Γερήνιος ἱππότα Νέστωρ·
53,"ἦ δὴ ταῦτά γʼ ἑτοῖμα τετεύχαται, οὐδέ κεν ἄλλως"
54,Ζεὺς ὑψιβρεμέτης αὐτὸς παρατεκτήναιτο.
55,"τεῖχος μὲν γὰρ δὴ κατερήριπεν, ᾧ ἐπέπιθμεν"
56,ἄρρηκτον νηῶν τε καὶ αὐτῶν εἶλαρ ἔσεσθαι·
57,οἳ δʼ ἐπὶ νηυσὶ θοῇσι μάχην ἀλίαστον ἔχουσι
58,νωλεμές· οὐδʼ ἂν ἔτι γνοίης μάλα περ σκοπιάζων
